step	cost_avg	cost_best	solution_best
57   	    368.627   	    368.856	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.905720, -646.360721);  }
58   	    368.675   	     368.86	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.166900, -647.071285);  }
59   	    368.719   	     368.86	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.166900, -647.071285);  }
60   	    368.773   	     368.86	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.166900, -647.071285);  }
61   	    368.774   	     368.86	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.166900, -647.071285);  }
62   	     368.77   	     368.86	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.166900, -647.071285);  }
63   	    368.781   	     368.86	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.166900, -647.071285);  }
64   	    368.805   	     368.86	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.166900, -647.071285);  }
65   	    368.802   	    368.862	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.181981, -647.062777);  }
66   	    368.805   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
67   	    368.814   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
68   	    368.815   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
69   	    368.832   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
70   	     368.82   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
71   	    368.808   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
72   	    368.802   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
73   	    368.818   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
74   	    368.834   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
75   	    368.821   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.988507, -646.348589);  }
76   	    368.843   	    368.865	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.213325, -647.061761);  }
77   	    368.859   	    368.867	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.227597, -647.057976);  }
78   	     368.86   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.370308, -647.028237);  }
79   	    368.861   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.370308, -647.028237);  }
80   	    368.861   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.370308, -647.028237);  }
81   	    368.862   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.370308, -647.028237);  }
82   	    368.863   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.370308, -647.028237);  }
83   	    368.865   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.370308, -647.028237);  }
84   	    368.866   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.370308, -647.028237);  }
85   	    368.868   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.371624, -647.028963);  }
86   	     368.87   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.371624, -647.028963);  }
87   	    368.872   	    368.882	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.371624, -647.028963);  }
88   	    368.873   	    368.884	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.384884, -647.026717);  }
89   	    368.874   	    368.884	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.384884, -647.026717);  }
90   	    368.875   	    368.886	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.405208, -647.029877);  }
91   	    368.877   	    368.893	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.475246, -647.018181);  }
92   	    368.878   	    368.893	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.475246, -647.018181);  }
93   	    368.879   	    368.894	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.480379, -647.016330);  }
94   	     368.88   	    368.894	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.480379, -647.016330);  }
95   	    368.881   	    368.894	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.481014, -647.010454);  }
96   	    368.882   	    368.894	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.481014, -647.010454);  }
97   	    368.883   	    368.894	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.481014, -647.010454);  }
98   	    368.884   	    368.895	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.484720, -647.006735);  }
99   	    368.886   	    368.895	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.484720, -647.006735);  }
100   	    368.887   	    368.896	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.499712, -647.006810);  }
101   	    368.887   	    368.896	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.499712, -647.006810);  }
102   	    368.889   	    368.896	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.499712, -647.006810);  }
103   	    368.889   	    368.896	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.501556, -647.008511);  }
104   	     368.89   	    368.898	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.516264, -647.006548);  }
105   	     368.89   	    368.898	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.516264, -647.006548);  }
106   	    368.891   	    368.898	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.516264, -647.006548);  }
107   	    368.892   	    368.898	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.519933, -647.005832);  }
108   	    368.892   	    368.898	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.523835, -647.007180);  }
109   	    368.893   	    368.899	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.525741, -646.998920);  }
110   	    368.894   	    368.899	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.529140, -646.999303);  }
111   	    368.894   	    368.899	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.529140, -646.999303);  }
112   	    368.895   	      368.9	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.533827, -646.998447);  }
113   	    368.895   	      368.9	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.545316, -647.009161);  }
114   	    368.896   	    368.901	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.543792, -647.002893);  }
115   	    368.896   	    368.902	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.554995, -647.000792);  }
116   	    368.897   	    368.902	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.554995, -647.000792);  }
117   	    368.898   	    368.903	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.560538, -646.995626);  }
118   	    368.898   	    368.903	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.569329, -646.997221);  }
119   	    368.898   	    368.903	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.569329, -646.997221);  }
120   	    368.899   	    368.903	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.569329, -646.997221);  }
121   	    368.899   	    368.904	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.577134, -646.996329);  }
122   	      368.9   	    368.905	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.580798, -646.990998);  }
123   	      368.9   	    368.906	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.588000, -646.989020);  }
124   	    368.901   	    368.906	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.588000, -646.989020);  }
125   	    368.902   	    368.906	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.588000, -646.989020);  }
126   	    368.902   	    368.906	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.598411, -646.996320);  }
127   	    368.902   	    368.906	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.598210, -646.995646);  }
128   	    368.903   	    368.907	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.597691, -646.987611);  }
129   	    368.903   	    368.908	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.609541, -646.992548);  }
130   	    368.904   	    368.908	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.609070, -646.984118);  }
131   	    368.904   	    368.908	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.609070, -646.984118);  }
132   	    368.904   	    368.908	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.612188, -646.983925);  }
133   	    368.905   	    368.908	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.612188, -646.983925);  }
134   	    368.905   	    368.909	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.617688, -646.985924);  }
135   	    368.906   	    368.909	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.621707, -646.985503);  }
136   	    368.906   	     368.91	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.625282, -646.982781);  }
137   	    368.906   	     368.91	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.625282, -646.982781);  }
138   	    368.907   	     368.91	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.629607, -646.983143);  }
139   	    368.907   	     368.91	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.629607, -646.983143);  }
140   	    368.908   	    368.911	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1362.635968, -646.980581);  }
